School,Conference,Coach,SchoolPay,Bonus,BonusPaid,Buyout,GSR,FGR,Capacity,Enrollment,Revenues,W,L,Pct,Conf_W,Conf_L,Conf_Pct,AP_High,AP_Rank,BonusPctPaid,Ranked,Ranking,WinningSeason,SubstantialBonus,PowerFive,ACC,American,Big 12,Big Ten,Conference USA,FBS Independents,Mid-American,Mountain West,Pac-12,SEC,Sun Belt
Utah,Pac-12,Kyle Whittingham,3787917,935000,279167,9250000,0.9,0.69,45017,33000,61344782,7,6,0.54,3,6,0.33,20,0,0.2985743315508021,1,0,1,1.0,1,0,0,0,0,0,0,0,0,1,0,0
Utah State,Mountain West,Matt Wells,900000,765000,65000,2122917,0.89,0.68,25513,29400,13904944,6,7,0.46,4,4,0.5,0,0,0.0849673202614379,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
Vanderbilt,SEC,Derek Mason,2812523,1350000,375000,12500000,0.95,0.77,40550,13100,36915107,5,7,0.42,1,7,0.13,0,0,0.2777777777777778,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Virginia,ACC,Bronco Mendenhall,3550000,2165000,75000,18193750,0.86,0.71,61500,24400,31675701,6,7,0.46,3,5,0.38,0,0,0.0346420323325635,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Virginia Tech,ACC,Justin Fuente,4000000,435000,75000,15000000,0.8,0.68,66233,33400,65851157,9,4,0.69,5,3,0.63,12,24,0.1724137931034483,1,1,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Wake Forest,ACC,Dave Clawson,1831580,1340000,225000,14528125,0.89,0.75,31500,8100,32604709,8,5,0.62,4,4,0.5,0,0,0.167910447761194,0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Washington,Pac-12,Chris Petersen,4375000,1050000,300000,26354166,0.85,0.56,70138,47900,102248826,10,3,0.77,7,2,0.78,5,16,0.2857142857142857,1,1,1,1.0,1,0,0,0,0,0,0,0,0,1,0,0
Washington State,Pac-12,Mike Leach,3500000,725000,75000,4900000,0.85,0.56,35117,30600,51125157,9,4,0.69,6,3,0.67,8,0,0.1034482758620689,1,0,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0
West Virginia,Big 12,Dana Holgorsen,3605000,1000000,90000,7150000,0.74,0.6,60000,30000,34050353,7,6,0.54,5,4,0.56,22,0,0.09,1,0,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0
Western Kentucky,Conference USA,Mike Sanford Jr.,800000,400000,0,1200000,0.74,0.57,22113,20300,13764592,6,7,0.46,4,4,0.5,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Western Michigan,Mid-American,Tim Lester,800000,346500,39250,800000,0.74,0.4,30200,22900,12863908,6,6,0.5,4,4,0.5,0,0,0.1132756132756132,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Wisconsin,Big Ten,Paul Chryst,3750000,980000,290000,6000000,0.9,0.81,80321,44400,88713614,13,1,0.93,9,0,1.0,3,7,0.2959183673469387,1,1,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0
Wyoming,Mountain West,Craig Bohl,1412000,450000,236000,8016667,0.87,0.52,29181,12400,20381998,8,5,0.62,0,1,0.0,0,0,0.5244444444444445,0,0,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0
