School,Conference,Coach,SchoolPay,Bonus,BonusPaid,Buyout,GSR,FGR,Capacity,Enrollment,Revenues,W,L,Pct,Conf_W,Conf_L,Conf_Pct,AP_High,AP_Rank,BonusPctPaid,Ranked,Ranking,WinningSeason,SubstantialBonus,PowerFive,ACC,American,Big 12,Big Ten,Conference USA,FBS Independents,Mid-American,Mountain West,Pac-12,SEC,Sun Belt
Colorado State,Mountain West,Mike Bobo,1800000,905000,50000,8000000,0.8,0.76,41200,33800,20588154,7,6,0.54,5,3,0.63,0,0,0.0552486187845303,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
Connecticut,American,Randy Edsall,1100000,650000,129000,1000000,0.89,0.78,40000,31036,32695983,3,9,0.25,2,6,0.25,0,0,0.1984615384615384,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
Duke,ACC,David Cutcliffe,2540928,1340000,225000,14528125,0.96,0.9,40004,15900,35987926,7,6,0.54,3,5,0.38,0,0,0.167910447761194,0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0
East Carolina,American,Scottie Montgomery,1102500,850000,0,1233333,0.72,0.67,50000,29100,18270690,3,9,0.25,2,6,0.25,0,0,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
Eastern Michigan,Mid-American,Chris Creighton,460000,395000,10000,950000,0.73,0.59,30200,20300,12794163,5,7,0.42,3,5,0.38,0,0,0.0253164556962025,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Florida,SEC,Dan Mullen,6070000,925000,375000,12000000,0.93,0.37,88548,56100,117963328,4,7,0.36,3,5,0.38,17,0,0.4054054054054054,1,0,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Florida Atlantic,Conference USA,Lane Kiffin,1000000,1150000,40000,2850000,0.75,0.6,30000,30800,12532745,11,3,0.79,8,0,1.0,0,0,0.0347826086956521,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Florida International,Conference USA,Butch Davis,945000,550000,35000,3185626,0.75,0.59,23500,21900,16435347,8,5,0.62,5,3,0.63,0,0,0.0636363636363636,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Florida State,ACC,Willie Taggart,5000000,1475000,225000,21958333,0.58,0.43,82300,41900,94597591,7,6,0.54,3,5,0.38,3,0,0.1525423728813559,1,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Fresno State,Mountain West,Jeff Tedford,1550000,2765000,1240000,5440000,0.69,0.58,41031,25000,18658904,10,4,0.71,5,1,0.83,25,0,0.4484629294755877,1,0,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0
Georgia,SEC,Kirby Smart,6603600,1150000,1350000,27917500,0.59,0.39,92746,38200,138088467,13,2,0.87,7,1,0.88,2,2,1.173913043478261,1,1,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Georgia Southern,Sun Belt,Chad Lunsford,650000,295000,25000,83333,0.64,0.55,24300,27091,10198918,2,10,0.17,2,6,0.25,0,0,0.0847457627118644,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Georgia State,Sun Belt,Shawn Elliott,569000,220000,60000,1500000,0.81,0.7,23000,52800,10198918,7,5,0.58,5,3,0.63,0,0,0.2727272727272727,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1
Georgia Tech,ACC,Paul Johnson,3060018,1330000,225000,4000000,0.85,0.7,55000,32700,59422543,5,6,0.46,4,4,0.5,0,0,0.169172932330827,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Hawaii,Mountain West,Nick Rolovich,425004,1260000,0,300000,0.73,0.47,50000,17700,16823588,3,9,0.25,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
Houston,American,Major Applewhite,1750000,782500,20000,2112500,0.68,0.58,40000,42700,22613559,7,5,0.58,5,3,0.63,0,0,0.0255591054313099,0,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0
Illinois,Big Ten,Lovie Smith,5000000,1000000,50000,12636991,0.91,0.79,60670,51200,52784303,2,10,0.17,0,9,0.0,0,0,0.05,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Indiana,Big Ten,Tom Allen,1830000,1441668,0,2000000,0.85,0.62,52959,43700,61193975,5,7,0.42,2,7,0.22,0,0,0.0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
