Team,Enrollment,Current Conf,Former Conf
Troy,18100,Sun Belt,"Alabama Intercollegiate Conference, SIAA, Alabama Collegiate Conference, Mid-South Athletic Conference, Gulf South, Southland"
Tulane,14100,American,"SIAA, SoCon, SEC, C-USA"
Tulsa,"3,297[2]",American,"Oklahoma Intercollegiate Conference, Big 4 Conference, MVC, WAC, C-USA"
UAB,21900,C-USA[n 4],FCS Independent
UCF,68600,American[n 3],"MAC, C-USA"
UCLA,45400,Pac-12,"SCIAC, PCC"
UConn,32200,Independent,"Yankee, A-10, Big East, American"
UMass,30600,Independent,"Yankee, A-10, CAA, MAC"
UNLV,30500,Mountain West,"Big West, WAC"
USC,45700,Pac-12,PCC
UTEP,25100,C-USA,"BIAA, WAC"
UTSA,30700,C-USA[n 4],WAC
Utah,33000,Pac-12,"Colorado Football Association, RMAC, Mountain States, WAC, MW"
Utah State,29400,Mountain West,"Colorado Football Association, RMAC, Mountain States, Big West, Independent, Sun Belt, WAC"
Vanderbilt,13100,SEC,"SIAA, SoCon"
Virginia,24400,ACC,"SAIAA, SoCon"
Virginia Tech,33400,ACC,"SAIAA, SIAA, SoCon, Big East"
Wake Forest,8100,ACC,"Big Five Conference, SoCon"
Washington,47900,Pac-12,PCC
Washington State,30600,Pac-12,"PCC, Independent"
West Virginia,30000,Big 12,"SoCon, WVIAC, Big East"
Western Kentucky,20300,C-USA,"SIAA, KIAC, OVC, MVFC, Sun Belt"
Western Michigan,22900,MAC,MCC
Wisconsin,44400,Big Ten,None[n 8]
Wyoming,12400,Mountain West,"Colorado Football Association, RMAC, WAC"
