School,Conference,State,GSR,FGR
Michigan State ,Big Ten Conference,MI,0.84,0.68
 Michigan,Big Ten Conference,MI,0.96,0.79
Middle Tennessee State ,Conference USA,TN,0.95,0.64
" Minnesota, Twin Cities",Big Ten Conference,MN,0.96,0.78
Mississippi State ,Southeastern Conference,MS,0.74,0.62
Mississippi Valley State ,Southwestern Athletic Conf.,MS,0.78,0.53
 Mississippi,Southeastern Conference,MS,0.73,0.55
" Missouri, Columbia",Southeastern Conference,MO,0.77,0.55
Monmouth ,Big South Conference,NJ,0.82,0.76
Montana State -Bozeman,Big Sky Conference,MT,0.71,0.59
 Montana,Big Sky Conference,MT,0.71,0.59
Morehead State ,Pioneer Football League,KY,0.69,0
Morgan State ,Mid-Eastern Athletic Conf.,MD,0.67,0.58
Murray State ,Ohio Valley Conference,KY,0.84,0.5
" North Carolina, Chapel Hill",Atlantic Coast Conference,NC,0.66,0.55
The  North Carolina at Charlotte,Conference USA,NC,0.7,0.68
" Nebraska, Lincoln",Big Ten Conference,NE,0.9,0.65
 Nevada-Las Vegas,Mountain West Conference,NV,0.74,0.61
 Nevada,Mountain West Conference,NV,0.84,0.62
 New Hampshire,Colonial Athletic Association,NH,0.94,0.82
New Mexico State ,Independent,NM,0.83,0.63
 New Mexico,Mountain West Conference,NM,0.65,0.42
Nicholls State ,Southland Conference,LA,0.7,0.63
Norfolk State ,Mid-Eastern Athletic Conf.,VA,0.8,0.67
 North Alabama,Big South Conference,AL,0.46,0.42
North Carolina A&T State ,Mid-Eastern Athletic Conf.,NC,0.85,0.69
North Carolina Central ,Mid-Eastern Athletic Conf.,NC,0.7,0.51
North Carolina State ,Atlantic Coast Conference,NC,0.74,0.55
North Dakota State ,Missouri Valley Football Conference,ND,0.77,0.53
 North Dakota,Missouri Valley Football Conference,ND,0.72,0.5
 North Texas,Conference USA,TX,0.83,0.62
 Louisiana Monroe,Sun Belt Conference,LA,0.83,0.65
Northern Arizona ,Big Sky Conference,AZ,0.75,0.55
 Northern Colorado,Big Sky Conference,CO,0.88,0.78
Northern Illinois ,Mid-American Conference,IL,0.82,0.63
 Northern Iowa,Missouri Valley Football Conference,IA,0.79,0.65
Northwestern State ,Southland Conference,LA,0.83,0.62
Northwestern ,Big Ten Conference,IL,0.97,0.94
 Notre Dame,Independent,IN,0.91,0.8
The Ohio State ,Big Ten Conference,OH,0.81,0.53
Ohio ,Mid-American Conference,OH,0.91,0.77
Oklahoma State ,Big 12 Conference,OK,0.74,0.57
 Oklahoma,Big 12 Conference,OK,0.73,0.51
Old Dominion ,Conference USA,VA,0.7,0.51
Oregon State ,Pac-12 Conference,OR,0.82,0.69
 Oregon,Pac-12 Conference,OR,0.73,0.6
Penn State,Big Ten Conference,PA,0.87,0.71
 Pennsylvania,The Ivy League,PA,0.91,0.9
 Pittsburgh,Atlantic Coast Conference,PA,0.93,0.64
Portland State ,Big Sky Conference,OR,0.79,0.69
Prairie View A&M ,Southwestern Athletic Conf.,TX,0.64,0.58
Princeton ,The Ivy League,NJ,0.99,1
Purdue ,Big Ten Conference,IN,0.82,0.65
 Rhode Island,Colonial Athletic Association,RI,0.81,0.6
Rice ,Conference USA,TX,0.91,0.88
 Richmond,Colonial Athletic Association,VA,0.93,0.83
Robert Morris ,Horizon League,PA,0.71,0.41
"Rutgers, The State  New Jersey, New Brunswick",Big Ten Conference,NJ,0.71,0.55
Sacred Heart ,Northeast Conference,CT,0.84,0.68
Saint Francis  (Pennsylvania),Northeast Conference,PA,0.75,0.59
Sam Houston State ,Southland Conference,TX,0.56,0.59
Samford ,Southern Conference,AL,0.93,0.8
San Diego State ,Mountain West Conference,CA,0.84,0.69
 San Diego,Pioneer Football League,CA,0.84,0
San Jose State ,Mountain West Conference,CA,0.67,0.61
 South Alabama,Sun Belt Conference,AL,0.79,0.57
South Carolina State ,Mid-Eastern Athletic Conf.,SC,0.8,0.74
" South Carolina, Columbia",Southeastern Conference,SC,0.89,0.64
South Dakota State ,Missouri Valley Football Conference,SD,0.77,0.56
 South Dakota,Missouri Valley Football Conference,SD,0.88,0.63
 South Florida,American Athletic Conference,FL,0.79,0.61
Southeast Missouri State ,Ohio Valley Conference,MO,0.74,0.53
Southeastern Louisiana ,Southland Conference,LA,0.75,0.6
 Southern California,Pac-12 Conference,CA,0.81,0.6
Southern Illinois  at Carbondale,Missouri Valley Football Conference,IL,0.78,0.55
Southern Methodist ,American Athletic Conference,TX,0.82,0.67
The  Southern Mississippi,Conference USA,MS,0.73,0.56
"Southern , Baton Rouge",Southwestern Athletic Conf.,LA,0.55,0.45
Southern Utah ,Big Sky Conference,UT,0.69,0.49
Missouri State ,Missouri Valley Football Conference,MO,0.72,0.64
Texas State ,Sun Belt Conference,TX,0.7,0.54
 Louisiana at Lafayette,Sun Belt Conference,LA,0.74,0.55
Stanford ,Pac-12 Conference,CA,0.93,0.88
Stephen F. Austin State ,Southland Conference,TX,0.65,0.47
Stetson ,Pioneer Football League,FL,0.83,0
Stony Brook ,Colonial Athletic Association,NY,0.84,0.6
Syracuse ,Atlantic Coast Conference,NY,0.88,0.76
Temple ,American Athletic Conference,PA,0.89,0.73
Tennessee State ,Ohio Valley Conference,TN,0.63,0.41
Tennessee Technological ,Ohio Valley Conference,TN,0.75,0.6
